name,sido,sigg,job_positions
인베스티,서울,용산구,프론트엔드 개발자
새임,서울,마포구,프론트엔드 개발자
코드넛,서울,강남구,프론트엔드 개발자
투비콘,서울,중구,웹 풀스택 개발자
넛지헬스케어,서울,강남구,웹 풀스택 개발자
제이앤피메디,인천,연수구,웹 풀스택 개발자
오엠티아이코리아,서울,서초구,웹 풀스택 개발자
이스트게임즈,서울,서초구,웹 풀스택 개발자
상록아이엔씨,경기,부천시,웹 풀스택 개발자
모니터랩,서울,구로구,웹 풀스택 개발자
지에이파트너스,서울,구로구,웹 풀스택 개발자
코닉글로리,서울,강남구,웹 풀스택 개발자
이너스커뮤니티,서울,금천구,웹 풀스택 개발자
휴먼이즈,서울,용산구,웹 풀스택 개발자
무브멘토,서울,성동구,웹 풀스택 개발자
모니터랩,서울,구로구,웹 풀스택 개발자
브이엔티지,전북,군산시,웹 풀스택 개발자
모니터랩,서울,구로구,웹 풀스택 개발자
디엔비소프트,서울,강남구,웹 풀스택 개발자
마드라스체크,서울,영등포구,웹 풀스택 개발자
케이아이티밸리,서울,금천구,웹 풀스택 개발자
시큐어,서울,강남구,웹 풀스택 개발자
넛지헬스케어,서울,강남구,안드로이드 개발자
우리요,전북,전주시,안드로이드 개발자
페이타랩,서울,강남구,안드로이드 개발자
미니레코드,서울,송파구,안드로이드 개발자
이스트시큐리티,서울,서초구,안드로이드 개발자
마이너,서울,강남구,안드로이드 개발자
아이나비시스템즈,경기,성남시,안드로이드 개발자
디지타이드,서울,종로구,안드로이드 개발자
가온미디어,경기,성남시,안드로이드 개발자
WATA Inc.,경기,성남시,안드로이드 개발자
오케이포스,서울,강남구,안드로이드 개발자
팬마음,서울,강남구,안드로이드 개발자
에이엠텔레콤,경기,성남시,안드로이드 개발자
에이엠텔레콤,경기,성남시,안드로이드 개발자
피피프렌즈,서울,서초구,IOS 개발자
넛지헬스케어,서울,강남구,IOS 개발자
페이타랩,서울,강남구,IOS 개발자
페이타랩,서울,강남구,IOS 개발자
러닝포인트,서울,마포구,IOS 개발자
넛지헬스케어,서울,강남구,크로스플랫폼 앱개발자
챔프스터디,서울,서초구,크로스플랫폼 앱개발자
우리엔,경기,화성시,크로스플랫폼 앱개발자
파토스,서울,구로구,크로스플랫폼 앱개발자
브리치,서울,강남구,크로스플랫폼 앱개발자
띵킹프렌즈,서울,강남구,크로스플랫폼 앱개발자
클라썸,서울,강남구,크로스플랫폼 앱개발자
이스트게임즈,서울,서초구,게임 클라이언트 개발자
쿡앱스,경기,성남시,게임 클라이언트 개발자
미니레코드,광주,북구,게임 클라이언트 개발자
버들,서울,강남구,게임 클라이언트 개발자
네비웍스,경기,안양시,게임 클라이언트 개발자
아이엠파인,서울,마포구,게임 클라이언트 개발자
이스트게임즈,서울,서초구,게임 서버 개발자
이스트게임즈,서울,서초구,게임 서버 개발자
위메이드,경기,성남시,게임 서버 개발자
챔프스터디,서울,서초구,DBA
인텍에프에이,경기,용인시,DBA
넛지헬스케어,서울,강남구,빅데이터 엔지니어
넛지헬스케어,서울,강남구,빅데이터 엔지니어
에이모,경기,성남시,빅데이터 엔지니어
업스테이지,경기,용인시,빅데이터 엔지니어
텐바이텐,서울,종로구,빅데이터 엔지니어
무브멘토,서울,성동구,빅데이터 엔지니어
폼즈,서울,마포구,빅데이터 엔지니어
퍼플아카데미,서울,양천구,빅데이터 엔지니어
알고리즘코리아,서울,금천구,빅데이터 엔지니어
코인원,서울,영등포구,빅데이터 엔지니어
마크클라우드,서울,강남구,빅데이터 엔지니어
이몰디노,서울,중구,빅데이터 엔지니어
인포시즈,서울,강남구,빅데이터 엔지니어
포지큐브,서울,강남구,빅데이터 엔지니어
모빌린트,서울,강남구,인공지능/머신러닝
알지에이아이엔씨(RGA Inc.),서울,서초구,인공지능/머신러닝
로민,서울,서초구,인공지능/머신러닝
피플펀드컴퍼니,서울,서초구,인공지능/머신러닝
엔지온시스템,경기,화성시,인공지능/머신러닝
뉴로다임,서울,성동구,인공지능/머신러닝
로민,서울,서초구,인공지능/머신러닝
모빌린트,서울,강남구,인공지능/머신러닝
노르마,서울,성동구,인공지능/머신러닝
에이모,경기,성남시,인공지능/머신러닝
한국딥러닝,서울,서초구,인공지능/머신러닝
에어스메디컬,서울,강남구,인공지능/머신러닝
코닉글로리,서울,강남구,인공지능/머신러닝
파인더스,서울,영등포구,인공지능/머신러닝
뉴빌리티,서울,성동구,인공지능/머신러닝
버즈니,서울,관악구,인공지능/머신러닝
테스트웍스,서울,송파구,인공지능/머신러닝
파인더스,서울,영등포구,인공지능/머신러닝
알체라,경기,성남시,인공지능/머신러닝
오케스트로,서울,영등포구,인공지능/머신러닝
리빌더에이아이,서울,서초구,인공지능/머신러닝
데이터메이커,대전,유성구,인공지능/머신러닝
올거나이즈코리아,서울,강남구,인공지능/머신러닝
무브멘토,서울,성동구,인공지능/머신러닝
다누시스,경기,광명시,인공지능/머신러닝
블루닷,서울,강남구,인공지능/머신러닝
테스트웍스,서울,송파구,인공지능/머신러닝
에너자이,서울,강남구,인공지능/머신러닝
알체라,경기,성남시,인공지능/머신러닝
폼즈,서울,마포구,인공지능/머신러닝
엑소시스템즈,경기,성남시,인공지능/머신러닝
에너자이,서울,강남구,인공지능/머신러닝
에너자이,서울,강남구,인공지능/머신러닝
퍼플아카데미,서울,양천구,인공지능/머신러닝
알고리즘코리아,서울,금천구,인공지능/머신러닝
네비웍스,경기,안양시,인공지능/머신러닝
에이블제이,경기,성남시,인공지능/머신러닝
덴티움,경기,수원시,인공지능/머신러닝
펀진,서울,성동구,인공지능/머신러닝
블루닷,서울,강남구,인공지능/머신러닝
액션파워,서울,관악구,인공지능/머신러닝
오케스트로,서울,영등포구,인공지능/머신러닝
메디트,서울,영등포구,인공지능/머신러닝
더블유지에스,경기,수원시,인공지능/머신러닝
폼즈,서울,구로구,인공지능/머신러닝
마크클라우드,서울,강남구,인공지능/머신러닝
에듀템,서울,마포구,인공지능/머신러닝
이몰디노,서울,중구,인공지능/머신러닝
에프에스솔루션,경기,성남시,인공지능/머신러닝
알피니언메디칼시스템,서울,강서구,인공지능/머신러닝
폴라리스오피스,서울,구로구,인공지능/머신러닝
컨트롤웍스,서울,강남구,인공지능/머신러닝
트윔,경기,화성시,인공지능/머신러닝
와탭랩스,서울,서초구,devops/시스템 엔지니어
페이타랩,서울,강남구,devops/시스템 엔지니어
티에스엔랩,경기,용인시,devops/시스템 엔지니어
쏘마,경기,성남시,devops/시스템 엔지니어
티엔에이치,경기,성남시,devops/시스템 엔지니어
이스트게임즈,서울,서초구,devops/시스템 엔지니어
클루닉스,서울,영등포구,devops/시스템 엔지니어
오픈소스컨설팅,서울,강남구,devops/시스템 엔지니어
한류뱅크,서울,영등포구,devops/시스템 엔지니어
수산아이앤티,대전,서구,devops/시스템 엔지니어
오픈소스컨설팅,서울,강남구,devops/시스템 엔지니어
오비이랩,서울,강남구,devops/시스템 엔지니어
한국비즈넷,서울,구로구,devops/시스템 엔지니어
블루닷,서울,강남구,devops/시스템 엔지니어
모니터랩,서울,구로구,devops/시스템 엔지니어
아토리서치,서울,서초구,devops/시스템 엔지니어
쿤텍,경기,성남시,devops/시스템 엔지니어
에스피케이인크,서울,용산구,devops/시스템 엔지니어
에스피케이인크,서울,용산구,devops/시스템 엔지니어
넷킬러,서울,중구,devops/시스템 엔지니어
케이엠에스테크놀로지,서울,강남구,devops/시스템 엔지니어
아마존웹서비시즈코리아,서울,강남구,devops/시스템 엔지니어
아고스비전,대전,유성구,devops/시스템 엔지니어
인텍에프에이,경기,용인시,devops/시스템 엔지니어
티오더,서울,영등포구,devops/시스템 엔지니어
지니언스,경기,안양시,devops/시스템 엔지니어
컨트롤웍스,서울,강남구,devops/시스템 엔지니어
컨트롤웍스,서울,강남구,devops/시스템 엔지니어
디엔비소프트,강원,원주시,devops/시스템 엔지니어
아마존웹서비시즈코리아,서울,강남구,devops/시스템 엔지니어
이글루코퍼레이션,부산,남구,정보보안 담당자
쏘마,경기,성남시,정보보안 담당자
이글루코퍼레이션,서울,송파구,정보보안 담당자
이스트게임즈,서울,서초구,정보보안 담당자
씨큐윈,서울,성동구,정보보안 담당자
쿤텍,경기,성남시,정보보안 담당자
키미디에스,서울,서초구,정보보안 담당자
에이팩트,충북,진천군,정보보안 담당자
씨아이솔루션,서울,영등포구,정보보안 담당자
이글루코퍼레이션,대전,유성구,정보보안 담당자
이글루코퍼레이션,서울,송파구,정보보안 담당자
이글루코퍼레이션,대전,유성구,정보보안 담당자
넛지헬스케어,서울,강남구,QA 엔지니어
엑셈,서울,강서구,QA 엔지니어
에어스메디컬,서울,강남구,QA 엔지니어
컴즈,경기,성남시,QA 엔지니어
팬마음,서울,강남구,QA 엔지니어
네비웍스,경기,안양시,QA 엔지니어
이지식스(엠블),서울,강남구,QA 엔지니어
디엔비소프트,서울,강남구,QA 엔지니어
에너자이,서울,강남구,QA 엔지니어
인터엑스,울산,중구,QA 엔지니어
클라썸,서울,강남구,QA 엔지니어
위메이드,경기,성남시,QA 엔지니어
아이엠에스커넥트,서울,광진구,QA 엔지니어
라라스테이션,서울,강남구,개발 PM
메이븐클라우드서비스,서울,강남구,개발 PM
모빌린트,경기,성남시,HW/임베디드
볼시스,부산,영도구,HW/임베디드
바딧,서울,금천구,HW/임베디드
텔레픽스,대전,유성구,HW/임베디드
베렉스,서울,강남구,HW/임베디드
알지에이아이엔씨(RGA Inc.),서울,서초구,HW/임베디드
티에스엔랩,경기,용인시,HW/임베디드
파더스랩,서울,강남구,HW/임베디드
삼지전자,경기,화성시,HW/임베디드
오토콘테크,경남,창원시,HW/임베디드
닷밀,서울,마포구,HW/임베디드
배룩스,서울,서초구,HW/임베디드
비솔,경기,광명시,HW/임베디드
오비이랩,서울,강남구,HW/임베디드
에스알,경기,의왕시,HW/임베디드
바텍,경기,화성시,HW/임베디드
도미노코리아,경기,성남시,HW/임베디드
테크플렉스,대전,유성구,HW/임베디드
맥스로직,경기,광명시,HW/임베디드
블루닷,서울,강남구,HW/임베디드
엠브레인,경기,용인시,HW/임베디드
엑소시스템즈,경기,성남시,HW/임베디드
엠투아이코퍼레이션,경기,안양시,HW/임베디드
에스알,경기,의왕시,HW/임베디드
아이코어,경기,안양시,HW/임베디드
라온솔루션,경기,성남시,HW/임베디드
칩스앤미디어,대구,동구,HW/임베디드
범진전자,경기,수원시,HW/임베디드
쎄크,경기,수원시,HW/임베디드
라온로드,경기,성남시,HW/임베디드
제이오텍,대전,유성구,HW/임베디드
에스디티,서울,강남구,HW/임베디드
아이코어,경기,안양시,HW/임베디드
수일개발,경기,용인시,HW/임베디드
블루이엔지,경기,안양시,HW/임베디드
블루이엔지,경기,안양시,HW/임베디드
웨이브일렉트로닉스,경기,수원시,HW/임베디드
쿤텍,경기,성남시,HW/임베디드
아이로,경기,광명시,HW/임베디드
에스디티,서울,강남구,HW/임베디드
맥스로직,경기,광명시,HW/임베디드
인텍에프에이,경기,용인시,HW/임베디드
웨이브일렉트로닉스,경기,수원시,HW/임베디드
삼지전자,경기,화성시,HW/임베디드
시스콘,부산,강서구,HW/임베디드
엔젤로보틱스,서울,성동구,HW/임베디드
칼만,경기,안양시,HW/임베디드
엠브레인,경기,용인시,HW/임베디드
테트라다인,서울,구로구,HW/임베디드
텔트론,대전,유성구,HW/임베디드
시드코어,대전,유성구,HW/임베디드
엠코프,서울,강동구,HW/임베디드
네오티스,경기,안성시,HW/임베디드
한슬,대구,달서구,HW/임베디드
빈센,전남,영암군,HW/임베디드
에이엠텔레콤,경기,성남시,HW/임베디드
수옵틱스,서울,구로구,HW/임베디드
앤씨앤,경기,성남시,HW/임베디드
백금티앤에이,경기,군포시,HW/임베디드
컨트롤웍스,서울,강남구,HW/임베디드
신스타프리젠츠,서울,영등포구,HW/임베디드
옵토전자,경기,시흥시,HW/임베디드
지에스아이,충남,천안시,HW/임베디드
알세미,서울,강남구,SW/솔루션
이마고웍스,서울,강남구,SW/솔루션
모빌린트,서울,강남구,SW/솔루션
알세미,서울,강남구,SW/솔루션
언리저브,서울,강남구,SW/솔루션
이마고웍스,서울,강남구,SW/솔루션
엔지온시스템,경기,화성시,SW/솔루션
노르마,서울,성동구,SW/솔루션
웅진,서울,중구,SW/솔루션
에이아이트릭스,서울,서초구,SW/솔루션
엠투아이코퍼레이션,경기,안양시,SW/솔루션
그릿스탠다드,서울,성동구,SW/솔루션
엔시스템,경북,포항시,SW/솔루션
모비루스,경기,성남시,SW/솔루션
모비루스,대구,동구,SW/솔루션
알지에이아이엔씨(RGA Inc.),서울,서초구,SW/솔루션
컨트롤웍스,서울,강남구,SW/솔루션
베이리스,경기,성남시,SW/솔루션
코닉글로리,서울,강남구,SW/솔루션
뉴빌리티,서울,성동구,SW/솔루션
에이플러스소프트,서울,영등포구,SW/솔루션
이엘피,경기,화성시,SW/솔루션
포소드,서울,영등포구,SW/솔루션
펜타시큐리티,서울,영등포구,SW/솔루션
파더스랩,서울,강남구,SW/솔루션
베이리스,경기,의왕시,SW/솔루션
파이,경기,수원시,SW/솔루션
이스트시큐리티,서울,서초구,SW/솔루션
아이나비시스템즈,경기,성남시,SW/솔루션
아이나비시스템즈,경기,성남시,SW/솔루션
토모큐브,서울,서초구,SW/솔루션
엑소시스템즈,경기,성남시,SW/솔루션
오픈소스컨설팅,서울,강남구,SW/솔루션
가야데이터,서울,서초구,SW/솔루션
태하,경기,남양주시,SW/솔루션
아토리서치,서울,서초구,SW/솔루션
컨트롤웍스,서울,강남구,SW/솔루션
삼지전자,경기,화성시,SW/솔루션
바텍,경기,화성시,SW/솔루션
대상정보기술,서울,광진구,SW/솔루션
도미노코리아,경기,성남시,SW/솔루션
컨트롤웍스,서울,강남구,SW/솔루션
네비웍스,경기,안양시,SW/솔루션
네비웍스,경기,안양시,SW/솔루션
네비웍스,경기,안양시,SW/솔루션
앤씨앤,경기,성남시,SW/솔루션
앤씨앤,경기,성남시,SW/솔루션
페이타랩,서울,강남구,SW/솔루션
에너자이,서울,강남구,SW/솔루션
블루닷,서울,강남구,SW/솔루션
인터엑스,울산,중구,SW/솔루션
비주얼리서치,서울,영등포구,SW/솔루션
인터엑스,서울,금천구,SW/솔루션
에너자이,서울,강남구,SW/솔루션
쿤텍,경기,성남시,SW/솔루션
쿤텍,경기,성남시,SW/솔루션
넥스트칩,경기,성남시,SW/솔루션
디오넷,경기,고양시,SW/솔루션
솔탑,대전,유성구,SW/솔루션
메디트,서울,영등포구,SW/솔루션
우리들에이치엠,서울,강남구,SW/솔루션
신룡,경기,화성시,SW/솔루션
파이엇,서울,강남구,SW/솔루션
넥스트칩,경기,성남시,SW/솔루션
쿤텍,경기,성남시,SW/솔루션
휴템,서울,금천구,SW/솔루션
쿤텍,경기,성남시,SW/솔루션
메디트,서울,영등포구,SW/솔루션
에너자이,서울,강남구,SW/솔루션
테크플렉스,대전,유성구,SW/솔루션
인터엑스,울산,중구,SW/솔루션
라온로드,경기,성남시,SW/솔루션
블루닷,서울,강남구,SW/솔루션
블루이엔지,경기,안양시,SW/솔루션
아이엠파인,서울,마포구,SW/솔루션
엠엑스티바이오텍,서울,성동구,SW/솔루션
가온미디어,경기,성남시,SW/솔루션
프리시젼바이오,대전,유성구,SW/솔루션
쎄크,경기,수원시,SW/솔루션
도움이티에스,서울,금천구,SW/솔루션
웨이즈원,경기,의왕시,SW/솔루션
덴티움,경기,수원시,SW/솔루션
맥사이언스,경기,수원시,SW/솔루션
스타마타,경기,성남시,SW/솔루션
클레,서울,성동구,SW/솔루션
비즈니스온커뮤니케이션,서울,강남구,SW/솔루션
루미르,경기,용인시,SW/솔루션
펨트론,서울,금천구,SW/솔루션
펨트론,서울,금천구,SW/솔루션
쎄크,경기,수원시,SW/솔루션
스타마타,경기,성남시,SW/솔루션
대상정보기술,서울,광진구,SW/솔루션
키미디에스,서울,서초구,SW/솔루션
피피솔,서울,금천구,SW/솔루션
펨트론,서울,금천구,SW/솔루션
메이븐클라우드서비스,서울,강남구,SW/솔루션
인텔리안테크놀로지스,경기,성남시,SW/솔루션
에스피케이인크,서울,용산구,SW/솔루션
대상정보기술,서울,광진구,SW/솔루션
대상정보기술,서울,광진구,SW/솔루션
대상정보기술,서울,광진구,SW/솔루션
한국비즈넷,서울,구로구,SW/솔루션
엠코프,서울,강동구,SW/솔루션
인텍에프에이,경기,용인시,SW/솔루션
아르고스다인,경기,용인시,SW/솔루션
이엘피,경기,화성시,SW/솔루션
엔젤로보틱스,서울,성동구,SW/솔루션
알피니언메디칼시스템,서울,강서구,SW/솔루션
케이씨이아이,서울,구로구,SW/솔루션
칼만,경기,안양시,SW/솔루션
에이엠텔레콤,경기,성남시,SW/솔루션
아이디알시스템,대구,달서구,SW/솔루션
엔클로니,서울,구로구,SW/솔루션
라온시스템즈,경기,군포시,SW/솔루션
스파이더크래프트,서울,강남구,SW/솔루션
하이퍼정보,서울,강남구,SW/솔루션
네오티스,경기,안성시,SW/솔루션
알피니언메디칼시스템,서울,강서구,SW/솔루션
인터콘시스템스,경기,안양시,SW/솔루션
폴라리스오피스,서울,구로구,SW/솔루션
에이엠텔레콤,경기,성남시,SW/솔루션
에이엠텔레콤,경기,성남시,SW/솔루션
휴네이트,경기,안양시,SW/솔루션
앤씨앤,경기,성남시,SW/솔루션
직스테크놀로지,서울,강남구,SW/솔루션
하이보,서울,서초구,SW/솔루션
백금티앤에이,경기,군포시,SW/솔루션
앤씨앤,경기,성남시,SW/솔루션
알세미,서울,강남구,SW/솔루션
컨트롤웍스,서울,강남구,SW/솔루션
브이엔티지,전북,군산시,SW/솔루션
은성글로벌,강원,원주시,SW/솔루션
앰플트리,경기,고양시,웹퍼블리셔
파인더스,서울,영등포구,웹퍼블리셔
엠투커뮤니티,서울,성동구,웹퍼블리셔
시큐어,서울,서초구,웹퍼블리셔
한국딥러닝,서울,서초구,VR/AR/3D
미니레코드,광주,북구,VR/AR/3D
몽타미디어,서울,마포구,VR/AR/3D
트윔,경기,화성시,VR/AR/3D
버들,서울,강남구,블록체인
위메이드,경기,성남시,블록체인
위메이드,경기,성남시,블록체인
스탬퍼,서울,강남구,블록체인
스피디,서울,송파구,기술지원
이파피루스,경기,성남시,기술지원
이글루코퍼레이션,서울,송파구,기술지원
쿡앱스,경기,성남시,기술지원
클루닉스,서울,영등포구,기술지원
에스넷아이씨티,전북,군산시,기술지원
에이플러스소프트,서울,영등포구,기술지원
플랜트에셋,서울,금천구,기술지원
이글루코퍼레이션,대전,유성구,기술지원
파워텍,서울,구로구,기술지원
아토리서치,서울,서초구,기술지원
쿤텍,경기,성남시,기술지원
모니터랩,서울,구로구,기술지원
아토리서치,서울,서초구,기술지원
비앤케이원,서울,강남구,기술지원
래브라도랩스,서울,서초구,기술지원
비즈니스온커뮤니케이션,서울,강남구,기술지원
소프트보울,경기,과천시,기술지원
넷킬러,서울,중구,기술지원
에스알,경기,의왕시,기술지원
케이엠에스테크놀로지,서울,강남구,기술지원
케이엠에스테크놀로지,서울,강남구,기술지원
코어시스템즈,경기,수원시,기술지원
벨아이앤에스,충남,천안시,기술지원
아마존웹서비시즈코리아,서울,강남구,기술지원
아고스비전,대전,유성구,기술지원
하이보,서울,서초구,기술지원
아이엠에스커넥트,서울,광진구,기술지원
디엔비소프트,강원,원주시,기술지원
아마존웹서비시즈코리아,서울,강남구,기술지원
아마존웹서비시즈코리아,서울,강남구,기술지원
인사이트스토리,서울,서초구,기술지원
지놈인사이트테크놀로지,서울,서초구,서버/백엔드 개발자
지놈인사이트테크놀로지,대전,유성구,서버/백엔드 개발자
에이블제이,서울,강남구,프론트엔드 개발자
에이블제이,경기,성남시,프론트엔드 개발자
엔엑스테크놀로지,서울,영등포구,프론트엔드 개발자
엔엑스테크놀로지,울산,울주군,프론트엔드 개발자
원투씨엠,서울,서초구,프론트엔드 개발자
원투씨엠,경기,성남시,프론트엔드 개발자
이글루코퍼레이션,서울,강서구,정보보안 담당자
이글루코퍼레이션,서울,송파구,정보보안 담당자
동인기연,경기,김포시,SW/솔루션
큐렉소,서울,송파구,SW/솔루션
큐렉소,경기,성남시,SW/솔루션
기가레인,경기,성남시,SW/솔루션
기가레인,경기,화성시,SW/솔루션
